track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track,year,month
ýýýýýý,ýýýýýý,YOASOBI,2021-01-06,JPP302000760,"2,855",26.1,311307250.0,48587.0,"6,777,195",61.0,460930832.0,3166818.0,"73,300","18,691,633",275649626.0,"78,255,590",38.0,938,,4.0,"20,773",7.0,"1,427,765",827,,"556,492",,0,2021,1
UK Rap,Split Decision,Dave,2023-06-04,GBUM72305710,"2,882",26.0,107742416.0,42998.0,"15,708,278",67.0,11323598.0,134265.0,,68,921.0,"15,202",32.0,"1,310",39,10.0,"367,040",6.0,"167,290",634,,"186,901",,1,2023,6
Yugur,Yugur - Single,Dildora Niyozova,2024-02-21,GBLPF6787759,"2,886",26.0,17009.0,6.0,20,,66083451.0,231545.0,,,,,,,,,,,,,,"37,489",,0,2024,2
Mi Cama,Mi Cama,KAROL G,2018-05-11,USUM71806196,"2,881",26.0,224367887.0,21036.0,"7,372,736",57.0,1159610485.0,6061105.0,"136,001","8,220,385",99044675.0,"208,104,840",31.0,"5,993",219,23.0,"96,307",19.0,"17,465,106","13,197",,"1,291,228",,0,2018,5
Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2023-02-24,FR9W12223053,"2,879",26.0,84198.0,27.0,527,15.0,295297180.0,,,,,,,7,,,,,,,,41,,0,2023,2
True Love,True Love,Kanye West,2022-05-27,USQX92202485,"2,884",26.0,269363579.0,84173.0,"16,979,097",70.0,3464827.0,61192.0,162,"39,781",139748.0,"197,936",14.0,"2,567",300,10.0,"99,320",13.0,"7,132,702","3,069",,"706,611",,0,2022,5
La Triple T,La Triple T,TINI,2022-05-05,USHR12243202,"2,877",26.0,265244748.0,27965.0,"12,696,928",58.0,219911011.0,1029281.0,"439,688","63,221,453",837142924.0,"38,389,154",29.0,"17,457",424,21.0,"249,287",16.0,"383,784",211,,"226,814",,0,2022,5
Car's Outside,YOU,James Arthur,2019-10-18,DEE861903416,"2,876",26.0,578464780.0,64098.0,"29,245,701",76.0,99386903.0,1089785.0,"3,170,207","482,763,087",3957426996.0,"78,753,926",32.0,"6,663",,34.0,"211,486",1.0,"1,516,875","2,721",,"2,697,578",,0,2019,10
Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,2023-11-10,USUM72315552,"2,874",26.0,269280631.0,16841.0,"7,676,990",,4294607.0,37332.0,,,,,12.0,,,12.0,"95,510",30.0,"4,995,688","1,999","285,222","199,947",,1,2023,11
Paradise,Mylo Xyloto,Coldplay,2011-10-19,GBAYE1101143,"2,873",26.0,1291954163.0,205567.0,"85,747,045",77.0,325509002.0,2163945.0,"755,099","119,567,231",1016743063.0,"1,022,465",109.0,"44,631",109,94.0,"850,177",32.0,"486,445,533","445,013",,"8,726,725",,0,2011,10
Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,2022-04-15,USAT22200712,"2,888",26.0,203417763.0,41522.0,"3,635,691",66.0,69712050.0,939096.0,"624,819","85,472,081",686244417.0,"1,916,679,817",12.0,"18,320",111,2.0,"3,773",7.0,"43,710,605","11,796",,"885,217",,0,2022,4
Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,2022-09-02,QZQMB2102927,"2,887",26.0,145135597.0,15952.0,"3,101,333",65.0,226936682.0,537097.0,"235,860","10,955,274",181357126.0,"34,156,826",3.0,536,,,,1.0,"25,569,248","5,096",,"486,827",,1,2022,9
Peru,#NAME?,Fireboy DML,2020-01-01,USUYG1403104,"2,880",26.0,316588910.0,82524.0,"14,617,198",62.0,276127028.0,1891292.0,"94,341","17,340,575",291943987.0,"3,517,765,335",62.0,"158,998","1,457",23.0,"600,381",49.0,"19,592,967","8,768",,"4,534,741",,1,2020,1
Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,2022-06-23,BCVV82000055,"2,871",26.0,290735048.0,17734.0,"15,206,997",60.0,296249830.0,565573.0,"51,900","5,612,563",91683933.0,"3,084,523,872",25.0,"8,531",,42.0,"605,462",7.0,218,,,"136,717",,0,2022,6
Just Pretend,THE DEATH OF PEACE OF MIND,Bad Omens,2022-02-25,USYFZ2264208,"2,872",26.0,209635991.0,54470.0,"8,885,780",71.0,26381437.0,281014.0,"161,246","24,563,445",231239811.0,"12,295,099",18.0,"99,987",102,3.0,"29,711",13.0,"23,457,347","11,141","1,923,886","832,908",,0,2022,2
older,older,Isabel LaRosa,2023-09-15,USRC12302056,"2,870",26.0,174933335.0,20035.0,"16,854,153",,13345496.0,254331.0,1,"496,198",3421698.0,,4.0,290,,13.0,"244,120",,"1,110,727",934,"1,701,988","810,245",,0,2023,9
Happy Dance,Happy Dance,Elmo,2023-02-03,USRH12206010,"2,889",26.0,,,,,323018594.0,550826.0,,,,,,,,,,,"90,623",791,,,,0,2023,2
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,2017-06-15,QZ8TY1700001,"2,878",26.0,899431434.0,111427.0,"17,437,639",72.0,345265852.0,3361539.0,"277,847","116,647,161",813589191.0,"142,496,161",58.0,"1,116",26,18.0,"41,140",13.0,"86,963,909","92,609","26,708,285","3,585,978",,1,2017,6
Alone,Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,2022-11-04,USHR12244832,"2,875",26.0,139783785.0,44303.0,"5,375,418",63.0,37874489.0,402994.0,"41,400","17,092,754",129948415.0,644,25.0,"5,116",1,11.0,"109,328",14.0,"3,097,330","2,488","4,553,795","2,203,339",,0,2022,11
Delicate,reputation,Taylor Swift,2017-11-10,USCJY1750007,"2,885",26.0,987770768.0,58856.0,"33,732,271",75.0,593364271.0,4837607.0,"33,676","20,092,439",130537420.0,"78,802,662",81.0,"139,497",30,17.0,"234,356",55.0,"168,036,238","64,405",,"3,928,542",,0,2017,11
Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,2023-11-24,USUM72315069,"2,883",26.0,91553012.0,8921.0,"15,207,574",,48246407.0,514286.0,321,"234,356",,"381,759,122",20.0,"6,121",126,36.0,"7,295,757",9.0,"6,723,078","1,095","483,249","196,870",,0,2023,11
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,2021-06-16,UYB282113006,"2,892",25.9,203081704.0,47164.0,"7,286,295",59.0,409311269.0,2277370.0,,,,"31,484,427",12.0,324,,4.0,"21,147",4.0,"19,948",,,"373,244",,0,2021,6
Ni**as In Paris,Watch the Throne (Deluxe),JAY-Z,2011-01-01,USUM71111621,"2,899",25.9,1436087930.0,296520.0,"56,557,390",76.0,444307904.0,3150622.0,"37,473","21,427,059",199117216.0,"16,347,538",159.0,"49,872",3,47.0,"70,698",51.0,"106,302,435","446,924",,"10,189,462",,1,2011,1
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,2023-04-21,DEE862300656,"2,893",25.9,136778408.0,38192.0,"48,561,484",74.0,,,"1,937","301,660",16053583.0,,31.0,"27,969",,59.0,"1,248,462",30.0,"887,691",205,"1,317,255","936,908",,0,2023,4
Butterfly x Boom - Remix,Butterfly x Boom (Remix),LEA,2022-01-13,HKK972201900,"2,897",25.9,,382.0,"26,476",,,,"3,700,884","12,129,705",201918963.0,,,,,,,,,,,"85,064",,0,2022,1
On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,USLD91749183,"2,894",25.9,86155124.0,34804.0,"13,487,736",62.0,17603372.0,566251.0,"4,799","2,344,363",21751158.0,"465,664",22.0,884,1,1.0,"12,802",18.0,"1,836,178","1,081",,"260,921",,1,2023,7
Forever (feat. Fridayy),It's Only Me,Lil Baby,2022-10-14,USUG12207233,"2,906",25.9,101717995.0,43236.0,"7,266,342",61.0,28422099.0,327967.0,63,"1,372",15743.0,,18.0,"3,843",932,3.0,"908,794",,"96,992,333","15,344",,"1,196,752",,1,2022,10
Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,2014-01-01,USUM71409737,"2,895",25.9,1336196012.0,120161.0,"65,089,226",72.0,321959140.0,3114933.0,"22,465","36,410,479",243157936.0,"2,330",164.0,"30,904",140,107.0,"1,187,886",53.0,"520,899,844","621,488",,"6,269,103",,0,2014,1
Reminder,Starboy,The Weeknd,2016-11-25,USUG11600998,"2,890",25.9,1015965940.0,125348.0,"27,076,169",77.0,530807213.0,3439489.0,"515,202","51,866,413",445032303.0,"14,016,821",56.0,"5,219",68,37.0,"270,027",3.0,"71,957,016","35,326","7,071,878","3,869,271",,1,2016,11
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,2023-10-26,USUG12306687,"2,908",25.9,265932119.0,15133.0,"21,522,387",,10688311.0,218021.0,"57,311","24,038,841",148790467.0,"1,023,354,836",14.0,"6,497",5,19.0,"512,287",33.0,"2,649,309","1,180",,"362,874",,0,2023,10
icantbelieveiletyougetaway,icantbelieveiletyougetaway,aldn,2024-05-31,QZMEQ2463576,"2,896",25.9,3162942.0,520.0,"4,539,512",63.0,247697.0,13414.0,"15,900",,,,,,,,,,"3,490",26,"366,782","46,746",,0,2024,5
Harmless Python,INKUBATOR,Hot Lemon,2023-02-25,USCGJ2325873,"2,905",25.9,,,,,307570754.0,3929196.0,,,,"10,540,020",,1,,,,,,,,,,0,2023,2
Funk Estranho,Funk Estranho - Single,prod.67,2024-05-31,QZNWR2410858,"2,902",25.9,3589.0,,,15.0,,,,,,,1.0,,,,,,,,,"589,007",,0,2024,5
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214880,"2,901",25.9,370800055.0,49381.0,"6,786,167",68.0,130681979.0,909372.0,"9,631","12,486,570",123346772.0,"20,198,310",8.0,"1,209",,1.0,"4,012",1.0,"11,215,211","2,417","3,831,965","336,808",,1,2022,5
